baseline,accuracy,macro_f1,balanced_accuracy,false_faq_for_anamnesis,n_samples,anamnesis_precision,anamnesis_recall,anamnesis_f1,faq_precision,faq_recall,faq_f1,booking_precision,booking_recall,booking_f1,unsupported_precision,unsupported_recall,unsupported_f1,eval_set
B0_rules @ test,0.3907,0.4213,0.4819,0.0047,709,0.5714,0.2977,0.3914,0.9848,0.2569,0.4075,0.9552,0.4183,0.5818,0.181,0.9545,0.3043,test
B1.1_tfidf_lr @ test,0.8632,0.8398,0.8217,0.1023,709,0.8482,0.8837,0.8656,0.8208,0.9051,0.8609,0.9536,0.9412,0.9474,0.8909,0.5568,0.6853,test
B1.3_fasttext @ test,0.8265,0.8008,0.7964,0.0977,709,0.823,0.8651,0.8435,0.8543,0.834,0.844,0.8303,0.8954,0.8616,0.7324,0.5909,0.6541,test
B2.1_bge-m3_svc @ test,0.8858,0.8777,0.8732,0.0977,709,0.949,0.8651,0.9051,0.8582,0.9091,0.8829,0.8614,0.9346,0.8966,0.8734,0.7841,0.8263,test
B2.5_e5-small_svc @ test,0.8533,0.8446,0.845,0.0977,709,0.8779,0.8698,0.8738,0.8452,0.8419,0.8436,0.8726,0.8954,0.8839,0.7816,0.7727,0.7771,test
B0_rules @ val,0.4818,0.4881,0.4988,0.0,330,0.7692,0.4211,0.5442,1.0,0.3364,0.5034,0.8947,0.3091,0.4595,0.2928,0.9286,0.4452,val
B1.1_tfidf_lr @ val,0.8182,0.8016,0.8042,0.0842,330,0.7288,0.9053,0.8075,0.8403,0.9091,0.8734,0.8667,0.9455,0.9043,0.9697,0.4571,0.6214,val
B1.3_fasttext @ val,0.7848,0.7619,0.7691,0.0421,330,0.7217,0.8737,0.7905,0.8649,0.8727,0.8688,0.75,0.8727,0.8067,0.8,0.4571,0.5818,val
B2.1_bge-m3_svc @ val,0.8667,0.86,0.8649,0.0105,330,0.8393,0.9895,0.9082,0.8942,0.8455,0.8692,0.8852,0.9818,0.931,0.8491,0.6429,0.7317,val
B2.5_e5-small_svc @ val,0.803,0.7886,0.7998,0.0526,330,0.7652,0.9263,0.8381,0.8558,0.8091,0.8318,0.803,0.9636,0.876,0.7778,0.5,0.6087,val
B0_rules @ hard_test,0.6569,0.4652,0.6192,0.0325,204,0.9421,0.7403,0.8291,0.4444,0.1481,0.2222,0.6667,0.5882,0.625,0.1017,1.0,0.1846,hard_test
B1.1_tfidf_lr @ hard_test,0.7353,0.6102,0.6744,0.1623,204,0.9286,0.7597,0.8357,0.3571,0.5556,0.4348,0.4839,0.8824,0.625,0.6,0.5,0.5455,hard_test
B1.3_fasttext @ hard_test,0.6961,0.585,0.6898,0.2013,204,0.9381,0.6883,0.794,0.3542,0.6296,0.4533,0.4324,0.9412,0.5926,0.5,0.5,0.5,hard_test
B2.1_bge-m3_svc @ hard_test,0.7108,0.5982,0.7238,0.2078,204,0.973,0.7013,0.8151,0.3519,0.7037,0.4691,0.4828,0.8235,0.6087,0.4,0.6667,0.5,hard_test
B2.5_e5-small_svc @ hard_test,0.7108,0.5745,0.7071,0.1948,204,0.9576,0.7338,0.8309,0.3191,0.5556,0.4054,0.5,0.7059,0.5854,0.3333,0.8333,0.4762,hard_test
B0_rules @ blind_test,0.4474,0.4736,0.5417,0.0,38,0.5,0.1667,0.25,1.0,0.25,0.4,1.0,0.75,0.8571,0.24,1.0,0.3871,blind_test
B1.1_tfidf_lr @ blind_test,0.8684,0.8706,0.8646,0.1667,38,0.9091,0.8333,0.8696,0.7857,0.9167,0.8462,1.0,0.875,0.9333,0.8333,0.8333,0.8333,blind_test
B1.3_fasttext @ blind_test,0.8684,0.8794,0.8646,0.25,38,0.9,0.75,0.8182,0.75,1.0,0.8571,1.0,0.875,0.9333,1.0,0.8333,0.9091,blind_test
B2.1_bge-m3_svc @ blind_test,0.9474,0.9472,0.9375,0.0833,38,1.0,0.9167,0.9565,0.8571,1.0,0.9231,1.0,1.0,1.0,1.0,0.8333,0.9091,blind_test
B2.5_e5-small_svc @ blind_test,0.8684,0.875,0.8646,0.1667,38,0.9091,0.8333,0.8696,0.7857,0.9167,0.8462,0.875,0.875,0.875,1.0,0.8333,0.9091,blind_test
B0_rules @ entity_held_out,0.16,0.2408,0.217,0.0345,100,0.6,0.1034,0.1765,0.9,0.1475,0.2535,0.8,0.4,0.5333,0.0,0.0,0.0,entity_held_out
B1.1_tfidf_lr @ entity_held_out,0.88,0.6373,0.8425,0.1379,100,0.9583,0.7931,0.8679,0.9048,0.9344,0.9194,0.7273,0.8,0.7619,0.0,0.0,0.0,entity_held_out
B1.3_fasttext @ entity_held_out,0.77,0.563,0.7583,0.2414,100,0.8636,0.6552,0.7451,0.8621,0.8197,0.8403,0.5714,0.8,0.6667,0.0,0.0,0.0,entity_held_out
B2.1_bge-m3_svc @ entity_held_out,0.82,0.5857,0.8195,0.2069,100,0.9524,0.6897,0.8,0.8833,0.8689,0.876,0.5294,0.9,0.6667,0.0,0.0,0.0,entity_held_out
B2.5_e5-small_svc @ entity_held_out,0.71,0.5458,0.7292,0.4138,100,0.6818,0.5172,0.5882,0.7833,0.7705,0.7769,0.75,0.9,0.8182,0.0,0.0,0.0,entity_held_out
B0_rules @ extended_eval,0.0891,0.0409,0.0891,0.0,101,0.0,0.0,0.0,1.0,0.0891,0.1636,0.0,0.0,0.0,0.0,0.0,0.0,extended_eval
B1.1_tfidf_lr @ extended_eval,0.7426,0.2131,0.7426,0.0,101,0.0,0.0,0.0,1.0,0.7426,0.8523,0.0,0.0,0.0,0.0,0.0,0.0,extended_eval
B1.3_fasttext @ extended_eval,0.703,0.2064,0.703,0.0,101,0.0,0.0,0.0,1.0,0.703,0.8256,0.0,0.0,0.0,0.0,0.0,0.0,extended_eval
B2.1_bge-m3_svc @ extended_eval,0.7822,0.2194,0.7822,0.0,101,0.0,0.0,0.0,1.0,0.7822,0.8778,0.0,0.0,0.0,0.0,0.0,0.0,extended_eval
B2.5_e5-small_svc @ extended_eval,0.7228,0.2098,0.7228,0.0,101,0.0,0.0,0.0,1.0,0.7228,0.8391,0.0,0.0,0.0,0.0,0.0,0.0,extended_eval
