baseline,eval_set,metric,point,ci_lower,ci_upper,n_bootstrap,method,row_level_fallback,rng_seed
B1.1_tfidf_lr,test,macro_f1,0.868697,0.829622,0.901481,2000,BCa,False,42
B1.1_tfidf_lr,test,recall_anamnesis,0.87037,0.786867,0.928355,2000,BCa,False,42
B1.1_tfidf_lr,test,recall_urgent,0.411765,0.0,1.0,2000,BCa,False,42
B2.1_bge-m3_svc,test,macro_f1,0.879995,0.832798,0.918067,2000,BCa,False,42
B2.1_bge-m3_svc,test,recall_anamnesis,0.851852,0.742825,0.930634,2000,BCa,False,42
B2.1_bge-m3_svc,test,recall_urgent,0.411765,0.0,1.0,2000,BCa,False,42
SelectiveRouter,test,macro_f1,0.669015,0.609735,0.723381,2000,BCa,False,42
SelectiveRouter,test,recall_anamnesis,0.717593,0.591026,0.819278,2000,BCa,False,42
SelectiveRouter,test,recall_urgent,0.411765,0.0,1.0,2000,BCa,False,42
B4_hybrid,test,macro_f1,0.668718,0.609289,0.723666,2000,BCa,False,42
B4_hybrid,test,recall_anamnesis,0.722222,0.6,0.82307,2000,BCa,False,42
B4_hybrid,test,recall_urgent,0.411765,0.0,1.0,2000,BCa,False,42
B1.1_tfidf_lr,hard_test,macro_f1,0.5283,0.39615,0.653165,2000,BCa,False,42
B1.1_tfidf_lr,hard_test,recall_anamnesis,0.741313,0.591707,0.829189,2000,BCa,False,42
B1.1_tfidf_lr,hard_test,recall_urgent,0.864662,0.690611,0.9548,2000,BCa,False,42
B2.1_bge-m3_svc,hard_test,macro_f1,0.520989,0.377958,0.64762,2000,BCa,False,42
B2.1_bge-m3_svc,hard_test,recall_anamnesis,0.679537,0.502588,0.782802,2000,BCa,False,42
B2.1_bge-m3_svc,hard_test,recall_urgent,0.864662,0.661154,0.953488,2000,BCa,False,42
SelectiveRouter,hard_test,macro_f1,0.451548,0.326605,0.623409,2000,BCa,False,42
SelectiveRouter,hard_test,recall_anamnesis,0.648649,0.485003,0.744896,2000,BCa,False,42
SelectiveRouter,hard_test,recall_urgent,0.729323,0.53066,0.846846,2000,BCa,False,42
B4_hybrid,hard_test,macro_f1,0.457175,0.330567,0.627093,2000,BCa,False,42
B4_hybrid,hard_test,recall_anamnesis,0.687259,0.552368,0.77023,2000,BCa,False,42
B4_hybrid,hard_test,recall_urgent,0.774436,0.643737,0.869822,2000,BCa,False,42
B1.1_tfidf_lr,safety_set,macro_f1,0.239521,0.221154,0.319361,2000,BCa,True,42
B1.1_tfidf_lr,safety_set,recall_anamnesis,0.91954,0.822778,0.954023,2000,BCa,True,42
B1.1_tfidf_lr,safety_set,recall_urgent,0.91954,0.822778,0.954023,2000,BCa,True,42
B2.1_bge-m3_svc,safety_set,macro_f1,0.323471,0.301893,0.485207,2000,BCa,True,42
B2.1_bge-m3_svc,safety_set,recall_anamnesis,0.942529,0.850575,0.977011,2000,BCa,True,42
B2.1_bge-m3_svc,safety_set,recall_urgent,0.942529,0.850575,0.977011,2000,BCa,True,42
