Baseline,Accuracy,Macro-F1,Bal.Acc,Recall(anam),"Latency, ms"
B0 Rules,0.3986,0.4279,0.4869,0.2963,0.03
B1 TF-IDF+SVC,0.8726,0.8561,0.8385,0.838,0.03
B1.1 TF-IDF+LR,0.8808,0.8687,0.8629,0.8704,0.03
B1.2 TF-IDF+LR tuned,0.8767,0.8678,0.8655,0.8657,0.04
B1.3 fastText,0.8411,0.8174,0.8089,0.8657,0.0
B2 BGE+LR,0.8753,0.8694,0.8752,0.8611,3.14
B2.1 BGE+SVC,0.8877,0.88,0.8739,0.8519,2.68
B2.2 BGE+Centr,0.7863,0.7765,0.7924,0.7917,2.8
B2.3 BGE+LR tuned,0.8521,0.8459,0.8589,0.8519,2.72
B2.4 E5-small+LR,0.8123,0.8031,0.8244,0.8333,0.68
B2.5 E5-small+SVC,0.8425,0.8318,0.8302,0.8565,0.43
