baseline,n_samples,repeats,encode_ms_total_median,encode_ms_per_text_median,predict_ms_total_median,predict_ms_per_text_median,total_ms_median,total_ms_per_text_median,total_ms_p95,encode_share
B0_rules,100,5,0.0,0.0,2.754,0.0275,2.754,0.0275,2.754,0.0
B1_tfidf_svc,100,5,2.476,0.0248,0.56,0.0056,3.119,0.0312,3.456,0.794
B1.1_tfidf_lr,100,5,2.671,0.0267,0.137,0.0014,2.81,0.0281,3.359,0.95
B1.2_tfidf_lr_tuned,100,5,2.958,0.0296,0.204,0.002,3.171,0.0317,3.233,0.933
B2_bge-m3_linear,100,5,829.355,8.2935,0.153,0.0015,829.514,8.2951,911.931,1.0
B2.1_bge-m3_svc,100,5,832.894,8.3289,0.697,0.007,833.705,8.337,942.694,0.999
B2.2_bge-m3_centroid,100,5,825.698,8.257,0.594,0.0059,826.235,8.2623,846.306,0.999
B2.3_bge-m3_linear_tuned,100,5,821.863,8.2186,0.142,0.0014,822.005,8.22,919.682,1.0
B2.4_e5-small_linear,100,5,142.165,1.4216,0.105,0.0011,142.249,1.4225,143.318,0.999
B2.5_e5-small_svc,100,5,129.518,1.2952,0.641,0.0064,130.159,1.3016,133.57,0.995
B1.3_fasttext,100,5,0.0,0.0,0.323,0.0032,0.323,0.0032,0.351,0.0
