baseline,eval_set,metric,fraction,seed,value,train_rows,train_families,group_mean,group_std,n_runs
B1.1_tfidf_lr,test,macro_f1,0.1,11,0.635,206,27,0.5361092000000001,0.06345628896098479,5
B1.1_tfidf_lr,hard_test,macro_f1,0.1,11,0.448656,206,27,0.42752080000000003,0.06507452584690877,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.1,11,0.850575,206,27,0.7839081999999999,0.20918288891470063,5
B2.1_bge-m3_svc,test,macro_f1,0.1,11,0.779157,206,27,0.7174718,0.05453408810276378,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.1,11,0.578041,206,27,0.551975,0.04106399338228076,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.1,11,0.91954,206,27,0.9034483999999999,0.059504169948836345,5
B1.1_tfidf_lr,test,macro_f1,0.1,23,0.49033,221,27,0.5361092000000001,0.06345628896098479,5
B1.1_tfidf_lr,hard_test,macro_f1,0.1,23,0.448509,221,27,0.42752080000000003,0.06507452584690877,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.1,23,0.988506,221,27,0.7839081999999999,0.20918288891470063,5
B2.1_bge-m3_svc,test,macro_f1,0.1,23,0.686188,221,27,0.7174718,0.05453408810276378,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.1,23,0.568572,221,27,0.551975,0.04106399338228076,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.1,23,0.942529,221,27,0.9034483999999999,0.059504169948836345,5
B1.1_tfidf_lr,test,macro_f1,0.1,37,0.471823,202,27,0.5361092000000001,0.06345628896098479,5
B1.1_tfidf_lr,hard_test,macro_f1,0.1,37,0.514659,202,27,0.42752080000000003,0.06507452584690877,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.1,37,0.942529,202,27,0.7839081999999999,0.20918288891470063,5
B2.1_bge-m3_svc,test,macro_f1,0.1,37,0.665658,202,27,0.7174718,0.05453408810276378,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.1,37,0.485423,202,27,0.551975,0.04106399338228076,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.1,37,0.896552,202,27,0.9034483999999999,0.059504169948836345,5
B1.1_tfidf_lr,test,macro_f1,0.1,53,0.537423,242,27,0.5361092000000001,0.06345628896098479,5
B1.1_tfidf_lr,hard_test,macro_f1,0.1,53,0.370109,242,27,0.42752080000000003,0.06507452584690877,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.1,53,0.643678,242,27,0.7839081999999999,0.20918288891470063,5
B2.1_bge-m3_svc,test,macro_f1,0.1,53,0.682362,242,27,0.7174718,0.05453408810276378,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.1,53,0.540729,242,27,0.551975,0.04106399338228076,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.1,53,0.954023,242,27,0.9034483999999999,0.059504169948836345,5
B1.1_tfidf_lr,test,macro_f1,0.1,71,0.54597,225,27,0.5361092000000001,0.06345628896098479,5
B1.1_tfidf_lr,hard_test,macro_f1,0.1,71,0.355671,225,27,0.42752080000000003,0.06507452584690877,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.1,71,0.494253,225,27,0.7839081999999999,0.20918288891470063,5
B2.1_bge-m3_svc,test,macro_f1,0.1,71,0.773994,225,27,0.7174718,0.05453408810276378,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.1,71,0.58711,225,27,0.551975,0.04106399338228076,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.1,71,0.804598,225,27,0.9034483999999999,0.059504169948836345,5
B1.1_tfidf_lr,test,macro_f1,0.25,11,0.665745,488,68,0.6730370000000001,0.04018247886206126,5
B1.1_tfidf_lr,hard_test,macro_f1,0.25,11,0.444628,488,68,0.47778980000000004,0.03510411406373903,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.25,11,0.735632,488,68,0.8643675999999999,0.08021308439899318,5
B2.1_bge-m3_svc,test,macro_f1,0.25,11,0.77925,488,68,0.79845,0.018724558699739765,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.25,11,0.536523,488,68,0.5617074,0.017774421813381163,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.25,11,0.942529,488,68,0.9264365999999999,0.026461978748763267,5
B1.1_tfidf_lr,test,macro_f1,0.25,23,0.668214,569,68,0.6730370000000001,0.04018247886206126,5
B1.1_tfidf_lr,hard_test,macro_f1,0.25,23,0.439185,569,68,0.47778980000000004,0.03510411406373903,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.25,23,0.931034,569,68,0.8643675999999999,0.08021308439899318,5
B2.1_bge-m3_svc,test,macro_f1,0.25,23,0.818771,569,68,0.79845,0.018724558699739765,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.25,23,0.564234,569,68,0.5617074,0.017774421813381163,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.25,23,0.954023,569,68,0.9264365999999999,0.026461978748763267,5
B1.1_tfidf_lr,test,macro_f1,0.25,37,0.618338,524,68,0.6730370000000001,0.04018247886206126,5
B1.1_tfidf_lr,hard_test,macro_f1,0.25,37,0.508016,524,68,0.47778980000000004,0.03510411406373903,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.25,37,0.91954,524,68,0.8643675999999999,0.08021308439899318,5
B2.1_bge-m3_svc,test,macro_f1,0.25,37,0.778616,524,68,0.79845,0.018724558699739765,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.25,37,0.552114,524,68,0.5617074,0.017774421813381163,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.25,37,0.91954,524,68,0.9264365999999999,0.026461978748763267,5
B1.1_tfidf_lr,test,macro_f1,0.25,53,0.730507,508,68,0.6730370000000001,0.04018247886206126,5
B1.1_tfidf_lr,hard_test,macro_f1,0.25,53,0.481786,508,68,0.47778980000000004,0.03510411406373903,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.25,53,0.83908,508,68,0.8643675999999999,0.08021308439899318,5
B2.1_bge-m3_svc,test,macro_f1,0.25,53,0.802689,508,68,0.79845,0.018724558699739765,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.25,53,0.580176,508,68,0.5617074,0.017774421813381163,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.25,53,0.885057,508,68,0.9264365999999999,0.026461978748763267,5
B1.1_tfidf_lr,test,macro_f1,0.25,71,0.682381,539,68,0.6730370000000001,0.04018247886206126,5
B1.1_tfidf_lr,hard_test,macro_f1,0.25,71,0.515334,539,68,0.47778980000000004,0.03510411406373903,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.25,71,0.896552,539,68,0.8643675999999999,0.08021308439899318,5
B2.1_bge-m3_svc,test,macro_f1,0.25,71,0.812924,539,68,0.79845,0.018724558699739765,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.25,71,0.57549,539,68,0.5617074,0.017774421813381163,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.25,71,0.931034,539,68,0.9264365999999999,0.026461978748763267,5
B1.1_tfidf_lr,test,macro_f1,0.5,11,0.788784,1065,136,0.762294,0.041339273983707105,5
B1.1_tfidf_lr,hard_test,macro_f1,0.5,11,0.594692,1065,136,0.5483385999999999,0.05052582846723049,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.5,11,0.942529,1065,136,0.8919542,0.08029526401164643,5
B2.1_bge-m3_svc,test,macro_f1,0.5,11,0.822567,1065,136,0.8320080000000001,0.0103916533814403,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.5,11,0.646124,1065,136,0.5978498,0.029280150643396643,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.5,11,0.965517,1065,136,0.9494252,0.0174319426685611,5
B1.1_tfidf_lr,test,macro_f1,0.5,23,0.762219,1061,136,0.762294,0.041339273983707105,5
B1.1_tfidf_lr,hard_test,macro_f1,0.5,23,0.543797,1061,136,0.5483385999999999,0.05052582846723049,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.5,23,0.965517,1061,136,0.8919542,0.08029526401164643,5
B2.1_bge-m3_svc,test,macro_f1,0.5,23,0.848271,1061,136,0.8320080000000001,0.0103916533814403,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.5,23,0.578786,1061,136,0.5978498,0.029280150643396643,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.5,23,0.954023,1061,136,0.9494252,0.0174319426685611,5
B1.1_tfidf_lr,test,macro_f1,0.5,37,0.814478,1083,136,0.762294,0.041339273983707105,5
B1.1_tfidf_lr,hard_test,macro_f1,0.5,37,0.522997,1083,136,0.5483385999999999,0.05052582846723049,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.5,37,0.896552,1083,136,0.8919542,0.08029526401164643,5
B2.1_bge-m3_svc,test,macro_f1,0.5,37,0.836153,1083,136,0.8320080000000001,0.0103916533814403,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.5,37,0.585513,1083,136,0.5978498,0.029280150643396643,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.5,37,0.954023,1083,136,0.9494252,0.0174319426685611,5
B1.1_tfidf_lr,test,macro_f1,0.5,53,0.710307,1051,136,0.762294,0.041339273983707105,5
B1.1_tfidf_lr,hard_test,macro_f1,0.5,53,0.479836,1051,136,0.5483385999999999,0.05052582846723049,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.5,53,0.896552,1051,136,0.8919542,0.08029526401164643,5
B2.1_bge-m3_svc,test,macro_f1,0.5,53,0.827235,1051,136,0.8320080000000001,0.0103916533814403,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.5,53,0.604261,1051,136,0.5978498,0.029280150643396643,5
B2.1_bge-m3_svc,safety_set,recall_urgent,0.5,53,0.954023,1051,136,0.9494252,0.0174319426685611,5
B1.1_tfidf_lr,test,macro_f1,0.5,71,0.735682,1075,136,0.762294,0.041339273983707105,5
B1.1_tfidf_lr,hard_test,macro_f1,0.5,71,0.600371,1075,136,0.5483385999999999,0.05052582846723049,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.5,71,0.758621,1075,136,0.8919542,0.08029526401164643,5
B2.1_bge-m3_svc,test,macro_f1,0.5,71,0.825814,1075,136,0.8320080000000001,0.0103916533814403,5
B2.1_bge-m3_svc,hard_test,macro_f1,0.5,71,0.574565,1075,136,0.5978498,0.029280150643396643,5
