baseline,eval_set,metric,fraction,mean,std,n_runs
B1.1_tfidf_lr,hard_test,macro_f1,0.1,0.3695464,0.05521870027264316,5
B1.1_tfidf_lr,hard_test,macro_f1,0.25,0.4430734,0.029415325203029793,5
B1.1_tfidf_lr,hard_test,macro_f1,0.5,0.48714379999999996,0.05799253769408613,5
B1.1_tfidf_lr,hard_test,macro_f1,0.75,0.49878,0.02691596565237808,5
B1.1_tfidf_lr,hard_test,macro_f1,1.0,0.5283,0.0,5
B1.1_tfidf_lr,hard_test,recall_anamnesis,0.1,0.6362935999999999,0.1899246676258774,5
B1.1_tfidf_lr,hard_test,recall_anamnesis,0.25,0.7204636000000001,0.060409537167569784,5
B1.1_tfidf_lr,hard_test,recall_anamnesis,0.5,0.7505794,0.03999444390537267,5
B1.1_tfidf_lr,hard_test,recall_anamnesis,0.75,0.7505794,0.011453576943470567,5
B1.1_tfidf_lr,hard_test,recall_anamnesis,1.0,0.741313,0.0,5
B1.1_tfidf_lr,hard_test,recall_urgent,0.1,0.688722,0.18391110674317637,5
B1.1_tfidf_lr,hard_test,recall_urgent,0.25,0.8225562,0.060291313691940775,5
B1.1_tfidf_lr,hard_test,recall_urgent,0.5,0.8330826,0.045238037831011185,5
B1.1_tfidf_lr,hard_test,recall_urgent,0.75,0.8571428000000001,0.011888266639842864,5
B1.1_tfidf_lr,hard_test,recall_urgent,1.0,0.864662,0.0,5
B1.1_tfidf_lr,safety_set,macro_f1,0.1,0.2221362,0.0493903199746671,5
B1.1_tfidf_lr,safety_set,macro_f1,0.25,0.2782304,0.0480067576159857,5
B1.1_tfidf_lr,safety_set,macro_f1,0.5,0.2336792,0.005877372856982964,5
B1.1_tfidf_lr,safety_set,macro_f1,0.75,0.23950960000000002,0.0019216528822865063,5
B1.1_tfidf_lr,safety_set,macro_f1,1.0,0.239521,0.0,5
B1.1_tfidf_lr,safety_set,recall_anamnesis,0.1,0.7264366,0.18541052935122107,5
B1.1_tfidf_lr,safety_set,recall_anamnesis,0.25,0.8620688,0.053296779487132316,5
B1.1_tfidf_lr,safety_set,recall_anamnesis,0.5,0.8781606,0.041122883304797596,5
B1.1_tfidf_lr,safety_set,recall_anamnesis,0.75,0.9195399999999999,0.014077217551774915,5
B1.1_tfidf_lr,safety_set,recall_anamnesis,1.0,0.9195399999999999,0.0,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.1,0.7264366,0.18541052935122107,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.25,0.8620688,0.053296779487132316,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.5,0.8781606,0.041122883304797596,5
B1.1_tfidf_lr,safety_set,recall_urgent,0.75,0.9195399999999999,0.014077217551774915,5
B1.1_tfidf_lr,safety_set,recall_urgent,1.0,0.9195399999999999,0.0,5
B1.1_tfidf_lr,test,macro_f1,0.1,0.6129888,0.02456440033259512,5
B1.1_tfidf_lr,test,macro_f1,0.25,0.7252036000000001,0.038913866748242834,5
B1.1_tfidf_lr,test,macro_f1,0.5,0.7982618,0.015213803130709953,5
B1.1_tfidf_lr,test,macro_f1,0.75,0.8436436,0.012059165282058294,5
B1.1_tfidf_lr,test,macro_f1,1.0,0.868697,0.0,5
B1.1_tfidf_lr,test,recall_anamnesis,0.1,0.7222223999999999,0.15614288619338373,5
B1.1_tfidf_lr,test,recall_anamnesis,0.25,0.8037036000000001,0.040040130547989,5
B1.1_tfidf_lr,test,recall_anamnesis,0.5,0.8148148,0.03386259099212582,5
B1.1_tfidf_lr,test,recall_anamnesis,0.75,0.8648146000000001,0.018049755006647593,5
