tag,threshold,val_accepted_acc_tag,val_accepted_recall_anam,val_coverage_global,passes_stopping_rule
simple_faq,0.55,1.0,0.9844,0.5812,True
simple_faq,0.6,1.0,0.9844,0.5812,True
simple_faq,0.65,1.0,0.9844,0.5812,True
simple_faq,0.7,1.0,0.9844,0.5812,True
simple_faq,0.75,1.0,0.9844,0.567,True
simple_faq,0.8,1.0,0.9844,0.567,True
simple_faq,0.85,1.0,0.9844,0.5584,True
simple_faq,0.9,1.0,0.9844,0.5499,True
simple_faq,0.95,1.0,0.9844,0.5499,True
simple_booking,0.55,1.0,0.9844,0.5726,True
simple_booking,0.6,1.0,0.9844,0.5726,True
simple_booking,0.65,1.0,0.9844,0.5726,True
simple_booking,0.7,1.0,0.9844,0.5726,True
simple_booking,0.75,1.0,0.9844,0.567,True
simple_booking,0.8,1.0,0.9844,0.5613,True
simple_booking,0.85,1.0,0.9844,0.5613,True
simple_booking,0.9,1.0,0.9844,0.5499,True
simple_booking,0.95,1.0,0.9844,0.5214,True
simple_symptom,0.55,0.913,0.9859,0.5926,False
simple_symptom,0.6,0.9091,0.9857,0.5897,False
simple_symptom,0.65,0.9,0.9853,0.584,False
simple_symptom,0.7,1.0,0.9844,0.567,True
simple_symptom,0.75,1.0,0.9839,0.5613,True
simple_symptom,0.8,1.0,0.9831,0.5527,True
simple_symptom,0.85,1.0,0.9808,0.5328,True
simple_symptom,0.9,1.0,0.9808,0.5328,True
simple_symptom,0.95,,0.98,0.5271,False
