config,anamnesis_threshold,faq_anamnesis_margin,general_threshold,eval_set,router,with_complexity_gate,n,coverage,accepted_accuracy,accepted_recall_anam,defer_rate,FN_deferred,accepted_subset_macro_f1,rule_accepts
baseline_0.55_0.70,0.55,0.15,0.7,val,selective,False,351,0.5014,0.9432,1.0,0.4986,35,0.8789,0
baseline_0.55_0.70,0.55,0.15,0.7,val,hybrid,False,351,0.5071,0.9382,1.0,0.4929,34,0.8711,5
baseline_0.55_0.70,0.55,0.15,0.7,val,hybrid,True,351,0.3846,0.9556,1.0,0.6154,45,0.8858,4
baseline_0.55_0.70,0.55,0.15,0.7,test,selective,False,730,0.4945,0.9723,0.9928,0.5055,78,0.9415,0
baseline_0.55_0.70,0.55,0.15,0.7,test,hybrid,False,730,0.4986,0.967,0.9928,0.5014,77,0.9271,17
baseline_0.55_0.70,0.55,0.15,0.7,test,hybrid,True,730,0.4329,0.9684,1.0,0.5671,93,0.9066,16
baseline_0.55_0.70,0.55,0.15,0.7,hard_test,selective,False,355,0.6197,0.8182,0.8895,0.3803,87,0.473,0
baseline_0.55_0.70,0.55,0.15,0.7,hard_test,hybrid,False,355,0.6592,0.8291,0.913,0.3408,75,0.4708,52
baseline_0.55_0.70,0.55,0.15,0.7,hard_test,hybrid,True,355,0.431,0.8627,0.9569,0.569,143,0.6864,41
moderate_0.48_0.63,0.48,0.15,0.63,val,selective,False,351,0.6211,0.9404,0.9865,0.3789,21,0.8911,0
moderate_0.48_0.63,0.48,0.15,0.63,val,hybrid,False,351,0.6268,0.9364,0.9867,0.3732,20,0.885,5
moderate_0.48_0.63,0.48,0.15,0.63,val,hybrid,True,351,0.4672,0.9451,0.9831,0.5328,36,0.8925,4
moderate_0.48_0.63,0.48,0.15,0.63,test,selective,False,730,0.6,0.9635,0.9873,0.4,59,0.9416,0
moderate_0.48_0.63,0.48,0.15,0.63,test,hybrid,False,730,0.6041,0.9592,0.9873,0.3959,58,0.9317,17
moderate_0.48_0.63,0.48,0.15,0.63,test,hybrid,True,730,0.5137,0.9627,0.9928,0.4863,78,0.9238,16
moderate_0.48_0.63,0.48,0.15,0.63,hard_test,selective,False,355,0.7268,0.7829,0.8571,0.2732,63,0.6173,0
moderate_0.48_0.63,0.48,0.15,0.63,hard_test,hybrid,False,355,0.7493,0.7932,0.8768,0.2507,56,0.6175,52
moderate_0.48_0.63,0.48,0.15,0.63,hard_test,hybrid,True,355,0.4676,0.8554,0.959,0.5324,137,0.6816,41
aggressive_0.43_0.55,0.43,0.15,0.55,val,selective,False,351,0.7236,0.9291,0.9753,0.2764,14,0.9063,0
aggressive_0.43_0.55,0.43,0.15,0.55,val,hybrid,False,351,0.7265,0.9255,0.9753,0.2735,14,0.9016,5
aggressive_0.43_0.55,0.43,0.15,0.55,val,hybrid,True,351,0.5328,0.9358,0.9683,0.4672,32,0.9125,4
aggressive_0.43_0.55,0.43,0.15,0.55,test,selective,False,730,0.7123,0.9481,0.977,0.2877,42,0.9307,0
aggressive_0.43_0.55,0.43,0.15,0.55,test,hybrid,False,730,0.7151,0.9444,0.977,0.2849,42,0.9233,17
aggressive_0.43_0.55,0.43,0.15,0.55,test,hybrid,True,730,0.6,0.9452,0.9801,0.4,65,0.907,16
aggressive_0.43_0.55,0.43,0.15,0.55,hard_test,selective,False,355,0.8085,0.7666,0.838,0.1915,43,0.6152,0
aggressive_0.43_0.55,0.43,0.15,0.55,hard_test,hybrid,False,355,0.8197,0.7801,0.8591,0.1803,39,0.6195,52
aggressive_0.43_0.55,0.43,0.15,0.55,hard_test,hybrid,True,355,0.5042,0.8324,0.9385,0.4958,129,0.6608,41
