schema,analysis,rate,mean_completion,std,ci_lo,ci_hi
SD-1,cooperation,0.5,0.972,0.11496086290559933,0.5,1.0
SD-1,cooperation,0.6,0.9645,0.12841242151754634,0.5,1.0
SD-1,cooperation,0.7,0.962,0.13249905660041508,0.5,1.0
SD-1,cooperation,0.8,0.966,0.1258729518204765,0.5,1.0
SD-1,cooperation,0.9,0.9495,0.1506643620767698,0.5,1.0
SD-1,cooperation,1.0,0.9365,0.16648648593804843,0.5,1.0
SD-1,dropout,0.02,0.917,0.15365871273702641,0.5,1.0
SD-1,dropout,0.05,0.87825,0.20028588941810152,0.25,1.0
SD-1,dropout,0.1,0.8155,0.24461142655239965,0.25,1.0
SD-1,dropout,0.15,0.766,0.26597744265256784,0.25,1.0
SD-2,cooperation,0.5,1.0,0.0,1.0,1.0
SD-2,cooperation,0.6,1.0,0.0,1.0,1.0
SD-2,cooperation,0.7,1.0,0.0,1.0,1.0
SD-2,cooperation,0.8,1.0,0.0,1.0,1.0
SD-2,cooperation,0.9,1.0,0.0,1.0,1.0
SD-2,cooperation,1.0,1.0,0.0,1.0,1.0
SD-2,dropout,0.02,0.9638333333333332,0.1406246975305389,0.3333333333333333,1.0
SD-2,dropout,0.05,0.915,0.20935748268346074,0.3333333333333333,1.0
SD-2,dropout,0.1,0.8393333333333333,0.26440205075688133,0.16666666666666666,1.0
SD-2,dropout,0.15,0.7695,0.3049731773269395,0.16666666666666666,1.0
