fold,method,f1_l2,f1_l1
0,tfidf_svc,0.9676553326895796,0.9780879243527743
1,tfidf_svc,0.9612659564282827,0.9801026041106706
2,tfidf_svc,0.9676595584967611,0.9814693991793666
3,tfidf_svc,0.9578616055019649,0.9746365577630407
4,tfidf_svc,0.9599722616125606,0.9766571265380684
5,tfidf_svc,0.9685973632801183,0.9833778818181441
6,tfidf_svc,0.9644021255149817,0.9804126113859463
7,tfidf_svc,0.9615461411302935,0.9783339965766265
8,tfidf_svc,0.9609626079959727,0.9753038871403396
9,tfidf_svc,0.9671256373492642,0.9790236489782631
10,tfidf_svc,0.9641037794282917,0.9787242114146395
11,tfidf_svc,0.9708337016304708,0.984673559488155
12,tfidf_svc,0.9669294419774794,0.9805516171429971
13,tfidf_svc,0.9582461569971538,0.972563944377508
14,tfidf_svc,0.9604522385086877,0.9791426500557767
0,tfidf_lr,0.9624354471674,0.9730046863317885
1,tfidf_lr,0.9513362205155178,0.9658689266203693
2,tfidf_lr,0.9592103314176407,0.9696289771665318
3,tfidf_lr,0.9545174036977451,0.9649591056248383
4,tfidf_lr,0.954947530462562,0.9635851368649855
5,tfidf_lr,0.9594337754611407,0.9684935835540806
6,tfidf_lr,0.960252948547148,0.9729142919504314
7,tfidf_lr,0.9541242672864328,0.9708232084128319
8,tfidf_lr,0.9541502921448389,0.9609683607081407
9,tfidf_lr,0.9578247049505082,0.9677792824055317
10,tfidf_lr,0.9576129051387472,0.9704664195235532
11,tfidf_lr,0.9598331344720071,0.9713974038864149
12,tfidf_lr,0.9554264313406993,0.965343211187184
13,tfidf_lr,0.954169159793267,0.960565004185797
14,tfidf_lr,0.9546523502109178,0.9688299334563932
0,embedding,0.851296931158708,0.9275371472742178
1,embedding,0.8583492664008626,0.9213961656766078
2,embedding,0.8659662478385973,0.9294748374302081
3,embedding,0.8695256596364885,0.9363624538590711
4,embedding,0.8549786909611378,0.9094713568855214
5,embedding,0.8709489780167976,0.9316949941586244
6,embedding,0.8525551559509262,0.9246343752784643
7,embedding,0.8513621105060141,0.9184062391052361
8,embedding,0.8585685258792393,0.9264362136551139
9,embedding,0.8631420976932374,0.9220959273816363
10,embedding,0.8593613179066454,0.930284456995848
11,embedding,0.8637334436778472,0.9247748793535276
12,embedding,0.8560504902881675,0.9230608791432117
13,embedding,0.8580305275315215,0.9195672177428544
14,embedding,0.8621787043831456,0.9298887242082617
0,tfidf_svc_aug,0.9685844018887892,0.9808958119898821
1,tfidf_svc_aug,0.9643894532682312,0.9827192286825308
2,tfidf_svc_aug,0.9670854995761421,0.9808307861204216
3,tfidf_svc_aug,0.957800119581221,0.9755338313204467
4,tfidf_svc_aug,0.9614021181716846,0.9796700107731311
5,tfidf_svc_aug,0.9682280463960039,0.9854358376948206
6,tfidf_svc_aug,0.9662883742797878,0.9806354307109624
7,tfidf_svc_aug,0.9653792459869756,0.9807395253210499
8,tfidf_svc_aug,0.9617967270889757,0.9757073875117976
9,tfidf_svc_aug,0.9685363226694538,0.9803426267743692
10,tfidf_svc_aug,0.9646280397986455,0.9812776874810043
11,tfidf_svc_aug,0.9708282932457882,0.9851469264530319
12,tfidf_svc_aug,0.9669333447016776,0.9807809480789637
13,tfidf_svc_aug,0.9576987151178215,0.9721198442075032
14,tfidf_svc_aug,0.9628928351713357,0.9792101373419151
0,embedding_aug,0.8580447685684516,0.9306940663001262
1,embedding_aug,0.8600586038926396,0.9216092059736359
2,embedding_aug,0.8713060182176519,0.9368282455714724
3,embedding_aug,0.8719772947790633,0.937630068155434
4,embedding_aug,0.8564658646346753,0.9112971701023145
5,embedding_aug,0.8744959266633711,0.9334420845580713
6,embedding_aug,0.8556786439150814,0.9251030273371759
7,embedding_aug,0.8523753101883287,0.9188846081321638
8,embedding_aug,0.864937416941913,0.9301866611955741
9,embedding_aug,0.8665931192238366,0.9256754375911045
10,embedding_aug,0.8614262229827432,0.9319037389322127
11,embedding_aug,0.8673031692550985,0.9281211419483082
12,embedding_aug,0.8549179837223639,0.9223327870132852
13,embedding_aug,0.8607694145466764,0.9231236975013551
14,embedding_aug,0.8639695614429024,0.9313293239941742
